"state","owners","avg_income","most_popular_color"
"Mississippi",107,40164.7,"Red"
"Nebraska",1789,60189.09,"Black"
"Vermont",1143,85414.09,"Red"
"Texas",1722,35606.32,"Silver"
"Iowa",1741,81195.55,"Blue"
"Rhode Island",168,65923.34,"Black"
"Pennsylvania",1994,42115.7,"Silver"
"South Dakota",435,44255.66,"Blue"
"Mississippi",506,98449.43,"White"
"Arizona",1870,83255.66,"Silver"
"Maine",1368,53554.9,"Silver"
"Oklahoma",1225,69557.28,"Blue"
"Missouri",225,75796.67,"Black"
"Wyoming",995,46817.43,"Silver"
"Indiana",430,45935.94,"White"
"North Dakota",845,40982.25,"Silver"
